Dataset,Subset ID,Is Filtered,Number of Users,Number of Items,Number of Ratings,Space Size,Shape,Density,Rating per User,Rating per Item,Gini Item,Gini User,Average Popularity,Standart Deviation of Popularity Bias,Skewness of Popularity Bias,Kurtosis of Popularity Bias,Average Long Tail Items,Standart Deviation of Long Tail Items,Skewness of Long Tail Items,Kurtosis of Long Tail Items,Mean Rating,Standart Deviation of Rating,Skewness of Rating,Kurtosis of Rating,Sensitive Attribute == 0 Percentage,Sensitive Attribute == 1 Percentage,Difference between Sensitive Attribute Percentage,Sensitive Feature
ml1m,60,Yes,131,1172,7762,153532,0.112,0.051,59.252,6.623,0.566,0.501,0.148,0.048,0.28,0.315,0.224,0.141,2.63,9.51,3.609,1.137,-0.588,-0.354,25.19,74.81,49.62,Age
ml1m,61,Yes,1557,640,33777,996480,2.433,0.034,21.694,52.777,0.626,0.533,0.116,0.049,0.339,1.415,0.264,0.176,2.024,5.011,3.582,1.117,-0.553,-0.35,22.35,77.65,55.3,Age
ml1m,62,Yes,902,702,21404,633204,1.285,0.034,23.729,30.49,0.643,0.52,0.141,0.067,0.263,0.244,0.25,0.168,2.375,6.953,3.552,1.121,-0.507,-0.425,19.62,80.38,60.76,Age
ml1m,1,Yes,273,1122,11957,306306,0.243,0.039,43.799,10.657,0.585,0.556,0.123,0.047,0.425,1.323,0.249,0.163,1.674,2.563,3.492,1.172,-0.521,-0.467,72.16,27.84,44.32,Gender
ml1m,2,Yes,1622,1196,66286,1939912,1.356,0.034,40.867,55.423,0.637,0.534,0.132,0.051,0.288,0.471,0.228,0.143,2.056,6.095,3.601,1.123,-0.583,-0.323,71.39,28.61,42.78,Gender
ml1m,3,Yes,961,766,23594,736126,1.255,0.032,24.552,30.802,0.646,0.538,0.125,0.053,0.415,1.014,0.247,0.157,2.119,5.937,3.548,1.133,-0.53,-0.417,72.42,27.58,44.84,Gender
ml1m,4,Yes,753,1493,39148,1124229,0.504,0.035,51.989,26.221,0.634,0.515,0.13,0.044,0.323,0.282,0.218,0.127,2.441,9.134,3.565,1.131,-0.542,-0.404,70.65,29.35,41.3,Gender
ml1m,5,Yes,167,1341,9504,223947,0.125,0.042,56.91,7.087,0.568,0.535,0.137,0.047,0.064,-0.244,0.223,0.149,2.977,11.419,3.607,1.104,-0.545,-0.349,71.86,28.14,43.72,Gender
ml1m,6,Yes,1843,1415,95830,2607845,1.302,0.037,51.997,67.724,0.624,0.53,0.129,0.044,0.168,0.084,0.229,0.139,2.259,7.396,3.582,1.119,-0.555,-0.366,72.22,27.78,44.44,Gender
ml1m,7,Yes,1368,837,37182,1145016,1.634,0.032,27.18,44.423,0.623,0.522,0.113,0.043,0.634,1.614,0.252,0.168,1.885,4.259,3.622,1.114,-0.589,-0.306,70.47,29.53,40.94,Gender
ml1m,8,Yes,1635,1368,75830,2236680,1.195,0.034,46.379,55.431,0.628,0.535,0.118,0.041,0.246,0.259,0.235,0.144,1.99,5.498,3.578,1.109,-0.554,-0.326,72.11,27.89,44.22,Gender
ml1m,9,Yes,413,701,8465,289513,0.589,0.029,20.496,12.076,0.603,0.517,0.113,0.054,0.933,2.102,0.252,0.157,2.095,6.172,3.635,1.113,-0.611,-0.265,70.94,29.06,41.88,Gender
ml1m,10,Yes,737,971,23023,715627,0.759,0.032,31.239,23.711,0.606,0.546,0.111,0.046,0.243,0.162,0.251,0.166,1.699,3.481,3.551,1.131,-0.54,-0.388,74.76,25.24,49.52,Gender
ml1m,11,Yes,630,1090,24023,686700,0.578,0.035,38.132,22.039,0.657,0.534,0.144,0.057,-0.029,0.402,0.231,0.13,2.083,6.546,3.52,1.144,-0.519,-0.451,71.11,28.89,42.22,Gender
ml1m,12,Yes,1320,480,23051,633600,2.75,0.036,17.463,48.023,0.645,0.528,0.132,0.064,0.426,1.076,0.28,0.195,2.109,4.783,3.563,1.127,-0.551,-0.375,71.59,28.41,43.18,Gender
ml1m,13,Yes,1715,431,25310,739165,3.979,0.034,14.758,58.724,0.647,0.531,0.112,0.046,-0.006,0.265,0.286,0.208,2.025,4.191,3.617,1.08,-0.563,-0.254,71.72,28.28,43.44,Gender
ml1m,14,Yes,1483,694,36626,1029202,2.137,0.036,24.697,52.775,0.635,0.533,0.13,0.059,0.27,0.472,0.26,0.173,1.99,4.973,3.554,1.133,-0.526,-0.427,70.87,29.13,41.74,Gender
ml1m,15,Yes,1042,906,32289,944052,1.15,0.034,30.988,35.639,0.637,0.519,0.137,0.059,0.315,0.307,0.25,0.144,1.848,5.386,3.596,1.131,-0.564,-0.384,70.73,29.27,41.46,Gender
ml1m,16,Yes,1013,1669,63090,1690697,0.607,0.037,62.28,37.801,0.639,0.517,0.142,0.047,0.321,-0.037,0.224,0.135,2.362,8.034,3.598,1.107,-0.568,-0.319,72.56,27.44,45.12,Gender
ml1m,17,Yes,1956,1105,69459,2161380,1.77,0.032,35.511,62.859,0.65,0.535,0.131,0.049,0.485,1.873,0.24,0.146,1.856,4.626,3.601,1.12,-0.574,-0.342,71.93,28.07,43.86,Gender
ml1m,18,Yes,483,1040,16384,502320,0.464,0.033,33.921,15.754,0.613,0.522,0.117,0.046,0.113,-0.135,0.236,0.154,2.081,5.599,3.551,1.147,-0.556,-0.407,69.57,30.43,39.14,Gender
ml1m,19,Yes,877,1217,34344,1067309,0.721,0.032,39.161,28.22,0.627,0.545,0.124,0.05,0.355,0.463,0.241,0.157,1.975,5.065,3.585,1.108,-0.543,-0.343,68.87,31.13,37.74,Gender
ml1m,20,Yes,1239,318,12910,394002,3.896,0.033,10.42,40.597,0.636,0.521,0.16,0.097,0.896,1.443,0.314,0.226,1.735,2.696,3.633,1.116,-0.606,-0.287,71.11,28.89,42.22,Gender
ml1m,21,Yes,1464,610,27910,893040,2.4,0.031,19.064,45.754,0.643,0.549,0.129,0.067,0.772,1.807,0.274,0.18,1.815,3.975,3.561,1.129,-0.546,-0.38,71.93,28.07,43.86,Gender
ml1m,22,Yes,607,755,15632,458285,0.804,0.034,25.753,20.705,0.623,0.535,0.124,0.054,0.519,1.102,0.253,0.17,1.8,3.95,3.615,1.107,-0.587,-0.293,71.83,28.17,43.66,Gender
ml1m,23,Yes,515,1444,26890,743660,0.357,0.036,52.214,18.622,0.627,0.53,0.13,0.046,0.601,1.823,0.229,0.142,2.177,6.72,3.58,1.107,-0.564,-0.304,73.2,26.8,46.4,Gender
ml1m,24,Yes,685,1640,39681,1123400,0.418,0.035,57.928,24.196,0.626,0.527,0.129,0.044,0.386,0.328,0.233,0.133,1.924,5.663,3.576,1.099,-0.548,-0.302,69.34,30.66,38.68,Gender
ml1m,25,Yes,1133,379,14536,429407,2.989,0.034,12.83,38.354,0.628,0.519,0.119,0.065,0.762,1.864,0.282,0.2,2.139,4.916,3.606,1.136,-0.593,-0.355,71.76,28.24,43.52,Gender
ml1m,26,Yes,1368,1544,76615,2112192,0.886,0.036,56.005,49.621,0.639,0.527,0.143,0.05,0.16,-0.011,0.229,0.137,2.183,6.995,3.621,1.117,-0.593,-0.298,72.66,27.34,45.32,Gender
ml1m,27,Yes,144,719,5285,103536,0.2,0.051,36.701,7.35,0.555,0.51,0.161,0.07,0.678,1.434,0.235,0.161,2.672,8.701,3.533,1.16,-0.534,-0.458,68.75,31.25,37.5,Gender
ml1m,28,Yes,1980,1484,102368,2938320,1.334,0.035,51.701,68.981,0.622,0.532,0.125,0.043,0.401,0.529,0.228,0.134,2.118,6.728,3.539,1.137,-0.525,-0.431,70.71,29.29,41.42,Gender
ml1m,29,Yes,785,840,21832,659400,0.935,0.033,27.811,25.99,0.628,0.529,0.121,0.054,0.452,0.876,0.243,0.145,2.152,6.753,3.601,1.085,-0.557,-0.269,69.04,30.96,38.08,Gender
ml1m,30,Yes,1727,1550,99327,2676850,1.114,0.037,57.514,64.082,0.63,0.536,0.135,0.046,0.192,-0.03,0.223,0.137,2.337,7.751,3.591,1.125,-0.567,-0.353,70.35,29.65,40.7,Gender
ml1m,31,Yes,1522,523,23819,796006,2.91,0.03,15.65,45.543,0.653,0.513,0.135,0.074,0.689,0.849,0.258,0.169,2.154,5.972,3.586,1.104,-0.565,-0.305,73.85,26.15,47.7,Gender
ml1m,32,Yes,1821,1341,86493,2441961,1.358,0.035,47.498,64.499,0.637,0.529,0.131,0.046,0.221,0.29,0.224,0.136,2.423,8.479,3.603,1.097,-0.549,-0.315,72.76,27.24,45.52,Gender
ml1m,33,Yes,581,867,16429,503727,0.67,0.033,28.277,18.949,0.611,0.498,0.114,0.048,0.102,-0.152,0.247,0.15,1.805,4.067,3.534,1.128,-0.51,-0.434,74.18,25.82,48.36,Gender
ml1m,34,Yes,750,1644,43117,1233000,0.456,0.035,57.489,26.227,0.614,0.56,0.128,0.047,0.385,0.621,0.235,0.148,2.227,6.507,3.542,1.097,-0.509,-0.34,70.67,29.33,41.34,Gender
ml1m,35,Yes,516,1416,24133,730656,0.364,0.033,46.769,17.043,0.623,0.505,0.13,0.047,0.611,0.584,0.232,0.144,2.025,6.499,3.626,1.091,-0.541,-0.325,70.74,29.26,41.48,Gender
ml1m,36,Yes,1463,1118,57610,1635634,1.309,0.035,39.378,51.53,0.643,0.53,0.133,0.049,0.258,0.35,0.231,0.139,2.062,6.161,3.598,1.097,-0.554,-0.319,71.22,28.78,42.44,Gender
ml1m,37,Yes,612,1460,29407,893520,0.419,0.033,48.051,20.142,0.627,0.52,0.121,0.044,0.28,-0.031,0.227,0.138,2.141,6.643,3.616,1.128,-0.582,-0.366,70.75,29.25,41.5,Gender
ml1m,38,Yes,578,1624,37993,938672,0.356,0.04,65.732,23.395,0.619,0.526,0.142,0.046,0.206,-0.132,0.222,0.127,1.966,5.589,3.625,1.104,-0.591,-0.276,74.05,25.95,48.1,Gender
ml1m,39,Yes,1448,715,37078,1035320,2.025,0.036,25.606,51.857,0.619,0.533,0.122,0.049,0.598,2.259,0.245,0.154,2.154,6.305,3.584,1.099,-0.539,-0.316,72.38,27.62,44.76,Gender
ml1m,40,Yes,1355,1528,74382,2070440,0.887,0.036,54.894,48.679,0.623,0.524,0.131,0.048,0.154,0.036,0.232,0.14,2.046,6.076,3.619,1.107,-0.588,-0.286,72.18,27.82,44.36,Gender
ml1m,41,Yes,385,1318,20341,507430,0.292,0.04,52.834,15.433,0.602,0.539,0.123,0.039,-0.075,0.101,0.225,0.138,2.272,7.455,3.499,1.112,-0.482,-0.416,74.29,25.71,48.58,Gender
ml1m,42,Yes,1811,707,40254,1280377,2.562,0.031,22.227,56.936,0.635,0.537,0.128,0.062,0.882,2.219,0.256,0.171,1.941,4.55,3.527,1.122,-0.517,-0.396,70.96,29.04,41.92,Gender
ml1m,43,Yes,517,411,6241,212487,1.258,0.029,12.072,15.185,0.599,0.52,0.108,0.056,0.669,0.636,0.305,0.215,1.74,2.948,3.606,1.149,-0.59,-0.382,73.5,26.5,47.0,Gender
ml1m,44,Yes,448,1083,17781,485184,0.414,0.037,39.69,16.418,0.603,0.566,0.123,0.049,0.194,0.516,0.244,0.154,2.233,6.684,3.559,1.117,-0.505,-0.424,70.98,29.02,41.96,Gender
ml1m,45,Yes,1039,1605,57588,1667595,0.647,0.035,55.426,35.88,0.617,0.535,0.121,0.043,0.415,0.379,0.227,0.141,2.214,6.425,3.55,1.102,-0.509,-0.368,71.51,28.49,43.02,Gender
ml1m,46,Yes,713,579,12487,412827,1.231,0.03,17.513,21.566,0.61,0.534,0.108,0.051,0.417,0.328,0.268,0.177,2.124,5.444,3.556,1.118,-0.515,-0.408,72.09,27.91,44.18,Gender
ml1m,47,Yes,1123,562,21459,631126,1.998,0.034,19.109,38.183,0.646,0.515,0.146,0.072,0.924,2.607,0.274,0.19,1.807,3.769,3.58,1.125,-0.561,-0.355,74.62,25.38,49.24,Gender
ml1m,48,Yes,762,890,21865,678180,0.856,0.032,28.694,24.567,0.617,0.549,0.108,0.041,0.427,1.757,0.253,0.169,2.02,4.967,3.531,1.109,-0.508,-0.372,71.0,29.0,42.0,Gender
ml1m,49,Yes,999,1501,51450,1499499,0.666,0.034,51.502,34.277,0.639,0.525,0.131,0.046,0.473,0.962,0.237,0.156,2.221,6.004,3.621,1.097,-0.572,-0.29,71.87,28.13,43.74,Gender
ml1m,50,Yes,294,947,11878,278418,0.31,0.043,40.401,12.543,0.597,0.534,0.144,0.052,-0.054,-0.201,0.235,0.127,1.894,5.735,3.666,1.093,-0.587,-0.308,76.19,23.81,52.38,Gender
ml1m,51,Yes,372,611,7538,227292,0.609,0.033,20.263,12.337,0.577,0.519,0.102,0.042,-0.048,-0.039,0.254,0.168,2.296,7.06,3.611,1.103,-0.564,-0.338,68.28,31.72,36.56,Gender
ml1m,52,Yes,277,489,5417,135453,0.566,0.04,19.556,11.078,0.605,0.517,0.15,0.072,0.264,0.196,0.261,0.174,2.233,6.402,3.572,1.111,-0.575,-0.309,72.2,27.8,44.4,Gender
ml1m,53,Yes,1654,1183,64227,1956682,1.398,0.033,38.831,54.292,0.652,0.512,0.15,0.058,0.51,0.642,0.22,0.122,2.298,9.204,3.628,1.095,-0.573,-0.285,71.7,28.3,43.4,Gender
ml1m,54,Yes,1681,606,30720,1018686,2.774,0.03,18.275,50.693,0.633,0.555,0.105,0.047,0.374,1.136,0.274,0.189,1.917,4.159,3.54,1.1,-0.504,-0.377,71.8,28.2,43.6,Gender
ml1m,55,Yes,1653,1346,72231,2224938,1.228,0.032,43.697,53.663,0.634,0.528,0.133,0.05,0.431,0.51,0.228,0.135,2.017,5.999,3.559,1.128,-0.533,-0.398,72.6,27.4,45.2,Gender
ml1m,56,Yes,1543,1613,87044,2488859,0.957,0.035,56.412,53.964,0.621,0.528,0.129,0.047,0.372,0.396,0.225,0.132,2.288,7.583,3.586,1.121,-0.562,-0.348,71.29,28.71,42.58,Gender
ml1m,57,Yes,1891,1633,105012,3088003,1.158,0.034,55.533,64.306,0.624,0.544,0.12,0.04,0.281,0.274,0.234,0.141,1.933,5.185,3.587,1.113,-0.544,-0.352,71.07,28.93,42.14,Gender
ml1m,58,Yes,1241,1183,51888,1468103,1.049,0.035,41.811,43.861,0.642,0.536,0.129,0.045,0.189,0.372,0.239,0.151,2.238,6.764,3.552,1.13,-0.554,-0.368,71.96,28.04,43.92,Gender
ml1m,59,Yes,1114,578,19954,643892,1.927,0.031,17.912,34.522,0.653,0.53,0.131,0.062,0.563,1.438,0.279,0.183,1.767,3.848,3.56,1.114,-0.52,-0.394,72.17,27.83,44.34,Gender
ml1m,60,Yes,131,1172,7762,153532,0.112,0.051,59.252,6.623,0.566,0.501,0.148,0.048,0.28,0.315,0.224,0.141,2.63,9.51,3.609,1.137,-0.588,-0.354,67.94,32.06,35.88,Gender
ml1m,61,Yes,1557,640,33777,996480,2.433,0.034,21.694,52.777,0.626,0.533,0.116,0.049,0.339,1.415,0.264,0.176,2.024,5.011,3.582,1.117,-0.553,-0.35,71.61,28.39,43.22,Gender
ml1m,62,Yes,902,702,21404,633204,1.285,0.034,23.729,30.49,0.643,0.52,0.141,0.067,0.263,0.244,0.25,0.168,2.375,6.953,3.552,1.121,-0.507,-0.425,69.4,30.6,38.8,Gender
